species,is_adelie,island,is_biscoe,bill_length_mm,body_mass_g
Gentoo, not Adelie,Biscoe,is Biscoe,48.5,5300
Gentoo, not Adelie,Biscoe,is Biscoe,45.1,4400
Gentoo, not Adelie,Biscoe,is Biscoe,50.1,5000
Gentoo, not Adelie,Biscoe,is Biscoe,46.5,4900
Gentoo, not Adelie,Biscoe,is Biscoe,45,5050
Gentoo, not Adelie,Biscoe,is Biscoe,43.8,4300
Gentoo, not Adelie,Biscoe,is Biscoe,45.5,5000
Gentoo, not Adelie,Biscoe,is Biscoe,43.2,4450
Gentoo, not Adelie,Biscoe,is Biscoe,50.4,5550
Gentoo, not Adelie,Biscoe,is Biscoe,45.3,4200
Gentoo, not Adelie,Biscoe,is Biscoe,46.2,5300
Gentoo, not Adelie,Biscoe,is Biscoe,45.7,4400
Gentoo, not Adelie,Biscoe,is Biscoe,54.3,5650
Gentoo, not Adelie,Biscoe,is Biscoe,45.8,4700
Gentoo, not Adelie,Biscoe,is Biscoe,49.8,5700
Gentoo, not Adelie,Biscoe,is Biscoe,49.5,5800
Gentoo, not Adelie,Biscoe,is Biscoe,43.5,4700
Gentoo, not Adelie,Biscoe,is Biscoe,50.7,5550
Gentoo, not Adelie,Biscoe,is Biscoe,47.7,4750
Gentoo, not Adelie,Biscoe,is Biscoe,46.4,5000
Gentoo, not Adelie,Biscoe,is Biscoe,48.2,5100
Gentoo, not Adelie,Biscoe,is Biscoe,46.5,5200
Gentoo, not Adelie,Biscoe,is Biscoe,46.4,4700
Gentoo, not Adelie,Biscoe,is Biscoe,48.6,5800
Gentoo, not Adelie,Biscoe,is Biscoe,47.5,4600
Gentoo, not Adelie,Biscoe,is Biscoe,51.1,6000
Gentoo, not Adelie,Biscoe,is Biscoe,45.2,4750
Gentoo, not Adelie,Biscoe,is Biscoe,45.2,5950
Gentoo, not Adelie,Biscoe,is Biscoe,49.1,4625
Gentoo, not Adelie,Biscoe,is Biscoe,52.5,5450
Gentoo, not Adelie,Biscoe,is Biscoe,47.4,4725
Gentoo, not Adelie,Biscoe,is Biscoe,50,5350
Gentoo, not Adelie,Biscoe,is Biscoe,44.9,4750
Gentoo, not Adelie,Biscoe,is Biscoe,50.8,5600
Gentoo, not Adelie,Biscoe,is Biscoe,43.4,4600
Gentoo, not Adelie,Biscoe,is Biscoe,51.3,5300
Gentoo, not Adelie,Biscoe,is Biscoe,47.5,4875
Gentoo, not Adelie,Biscoe,is Biscoe,52.1,5550
Gentoo, not Adelie,Biscoe,is Biscoe,47.5,4950
Gentoo, not Adelie,Biscoe,is Biscoe,52.2,5400
Gentoo, not Adelie,Biscoe,is Biscoe,45.5,4750
Gentoo, not Adelie,Biscoe,is Biscoe,49.5,5650
Gentoo, not Adelie,Biscoe,is Biscoe,44.5,4850
Gentoo, not Adelie,Biscoe,is Biscoe,50.8,5200
Gentoo, not Adelie,Biscoe,is Biscoe,49.4,4925
Gentoo, not Adelie,Biscoe,is Biscoe,46.9,4875
Gentoo, not Adelie,Biscoe,is Biscoe,48.4,4625
Gentoo, not Adelie,Biscoe,is Biscoe,51.1,5250
Gentoo, not Adelie,Biscoe,is Biscoe,48.5,4850
Gentoo, not Adelie,Biscoe,is Biscoe,55.9,5600
Gentoo, not Adelie,Biscoe,is Biscoe,47.2,4975
Gentoo, not Adelie,Biscoe,is Biscoe,49.1,5500
Gentoo, not Adelie,Biscoe,is Biscoe,46.8,5500
Gentoo, not Adelie,Biscoe,is Biscoe,41.7,4700
Gentoo, not Adelie,Biscoe,is Biscoe,53.4,5500
Gentoo, not Adelie,Biscoe,is Biscoe,43.3,4575
Gentoo, not Adelie,Biscoe,is Biscoe,48.1,5500
Gentoo, not Adelie,Biscoe,is Biscoe,50.5,5000
Gentoo, not Adelie,Biscoe,is Biscoe,49.8,5950
Gentoo, not Adelie,Biscoe,is Biscoe,43.5,4650
Gentoo, not Adelie,Biscoe,is Biscoe,51.5,5500
Gentoo, not Adelie,Biscoe,is Biscoe,46.2,4375
Gentoo, not Adelie,Biscoe,is Biscoe,55.1,5850
Gentoo, not Adelie,Biscoe,is Biscoe,48.8,6000
Gentoo, not Adelie,Biscoe,is Biscoe,47.2,4925
Gentoo, not Adelie,Biscoe,is Biscoe,46.8,4850
Gentoo, not Adelie,Biscoe,is Biscoe,50.4,5750
Gentoo, not Adelie,Biscoe,is Biscoe,45.2,5200
Gentoo, not Adelie,Biscoe,is Biscoe,49.9,5400
Chinstrap, not Adelie,Dream, not Biscoe,46.5,3500
Chinstrap, not Adelie,Dream, not Biscoe,50,3900
Chinstrap, not Adelie,Dream, not Biscoe,51.3,3650
Chinstrap, not Adelie,Dream, not Biscoe,45.4,3525
Chinstrap, not Adelie,Dream, not Biscoe,52.7,3725
Chinstrap, not Adelie,Dream, not Biscoe,45.2,3950
Chinstrap, not Adelie,Dream, not Biscoe,46.1,3250
Chinstrap, not Adelie,Dream, not Biscoe,51.3,3750
Chinstrap, not Adelie,Dream, not Biscoe,46,4150
Chinstrap, not Adelie,Dream, not Biscoe,51.3,3700
Chinstrap, not Adelie,Dream, not Biscoe,46.6,3800
Chinstrap, not Adelie,Dream, not Biscoe,51.7,3775
Chinstrap, not Adelie,Dream, not Biscoe,47,3700
Chinstrap, not Adelie,Dream, not Biscoe,52,4050
Chinstrap, not Adelie,Dream, not Biscoe,45.9,3575
Chinstrap, not Adelie,Dream, not Biscoe,50.5,4050
Chinstrap, not Adelie,Dream, not Biscoe,50.3,3300
Chinstrap, not Adelie,Dream, not Biscoe,58,3700
Chinstrap, not Adelie,Dream, not Biscoe,46.4,3450
Chinstrap, not Adelie,Dream, not Biscoe,49.2,4400
Chinstrap, not Adelie,Dream, not Biscoe,42.4,3600
Chinstrap, not Adelie,Dream, not Biscoe,48.5,3400
Chinstrap, not Adelie,Dream, not Biscoe,43.2,2900
Chinstrap, not Adelie,Dream, not Biscoe,50.6,3800
Chinstrap, not Adelie,Dream, not Biscoe,46.7,3300
Chinstrap, not Adelie,Dream, not Biscoe,52,4150
Chinstrap, not Adelie,Dream, not Biscoe,50.5,3400
Chinstrap, not Adelie,Dream, not Biscoe,49.5,3800
Chinstrap, not Adelie,Dream, not Biscoe,46.4,3700
Chinstrap, not Adelie,Dream, not Biscoe,52.8,4550
Chinstrap, not Adelie,Dream, not Biscoe,40.9,3200
Chinstrap, not Adelie,Dream, not Biscoe,54.2,4300
Chinstrap, not Adelie,Dream, not Biscoe,42.5,3350
Chinstrap, not Adelie,Dream, not Biscoe,51,4100
Chinstrap, not Adelie,Dream, not Biscoe,49.7,3600
Chinstrap, not Adelie,Dream, not Biscoe,47.5,3900
Chinstrap, not Adelie,Dream, not Biscoe,47.6,3850
Chinstrap, not Adelie,Dream, not Biscoe,52,4800
Chinstrap, not Adelie,Dream, not Biscoe,46.9,2700
Chinstrap, not Adelie,Dream, not Biscoe,53.5,4500
Chinstrap, not Adelie,Dream, not Biscoe,49,3950
Chinstrap, not Adelie,Dream, not Biscoe,46.2,3650
Chinstrap, not Adelie,Dream, not Biscoe,50.9,3550
Chinstrap, not Adelie,Dream, not Biscoe,45.5,3500
Chinstrap, not Adelie,Dream, not Biscoe,50.9,3675
Chinstrap, not Adelie,Dream, not Biscoe,50.8,4450
Chinstrap, not Adelie,Dream, not Biscoe,50.1,3400
Chinstrap, not Adelie,Dream, not Biscoe,49,4300
Chinstrap, not Adelie,Dream, not Biscoe,51.5,3250
Chinstrap, not Adelie,Dream, not Biscoe,49.8,3675
Chinstrap, not Adelie,Dream, not Biscoe,48.1,3325
Chinstrap, not Adelie,Dream, not Biscoe,51.4,3950
Chinstrap, not Adelie,Dream, not Biscoe,45.7,3600
Chinstrap, not Adelie,Dream, not Biscoe,50.7,4050
Chinstrap, not Adelie,Dream, not Biscoe,42.5,3350
Chinstrap, not Adelie,Dream, not Biscoe,52.2,3450
Chinstrap, not Adelie,Dream, not Biscoe,45.2,3250
Chinstrap, not Adelie,Dream, not Biscoe,49.3,4050
Chinstrap, not Adelie,Dream, not Biscoe,50.2,3800
Chinstrap, not Adelie,Dream, not Biscoe,45.6,3525
Chinstrap, not Adelie,Dream, not Biscoe,51.9,3950
Chinstrap, not Adelie,Dream, not Biscoe,46.8,3650
Chinstrap, not Adelie,Dream, not Biscoe,45.7,3650
Chinstrap, not Adelie,Dream, not Biscoe,55.8,4000
Chinstrap, not Adelie,Dream, not Biscoe,43.5,3400
Chinstrap, not Adelie,Dream, not Biscoe,49.6,3775
Chinstrap, not Adelie,Dream, not Biscoe,50.8,4100
Chinstrap, not Adelie,Dream, not Biscoe,50.2,3775
